szkola;edukacja  
matematyka;edukacja  
fizyka;edukacja  
historia;edukacja  
geografia;edukacja  
nauczyciel;edukacja  
zeszyt;edukacja  
dlugopis;edukacja  
tablica;edukacja  
klasa;edukacja  
komputer;nauka  
robotyka;nauka  
sztuczna inteligencja;nauka  
programowanie;nauka  
internet;nauka  
inzynieria;nauka  
mikroskop;nauka  
teleskop;nauka  
laboratorium;nauka  
algorytm;nauka  
samolot;podroze  
paszport;podroze  
bagaz;podroze  
lotnisko;podroze  
wakacje;podroze  
hotel;podroze  
przewodnik;podroze  
mapa;podroze  
rezerwacja;podroze  
turysta;podroze  
pizza;jedzenie  
pierogi;jedzenie  
schabowy;jedzenie  
zupa;jedzenie  
makaron;jedzenie  
ciasto;jedzenie  
lody;jedzenie  
herbata;jedzenie  
czekolada;jedzenie  
pomidor;jedzenie  
pies;zwierzeta  
kot;zwierzeta  
kon;zwierzeta  
slon;zwierzeta  
zebry;zwierzeta  
papuga;zwierzeta  
tygrys;zwierzeta  
panda;zwierzeta  
wilk;zwierzeta  
zolw;zwierzeta  
pokoj;dom  
kuchnia;dom  
lazienka;dom  
lozko;dom  
krzeslo;dom  
stol;dom  
firanka;dom  
lampa;dom  
lodowka;dom  
odkurzacz;dom  
film;rozrywka  
aktor;rozrywka  
scena;rozrywka  
rezyser;rozrywka  
kamera;rozrywka  
serial;rozrywka  
popcorn;rozrywka  
bilety;rozrywka  
komedia;rozrywka  
dramat;rozrywka  
pilka;sport  
bramka;sport  
sedzia;sport  
trening;sport  
stadion;sport  
siatkowka;sport  
koszykowka;sport  
narty;sport  
rower;sport  
bieganie;sport  
jezioro;przyroda  
las;przyroda  
gora;przyroda  
morze;przyroda  
rzeka;przyroda  
slonce;przyroda  
deszcz;przyroda  
wiatr;przyroda  
ogien;przyroda  
trawa;przyroda  
choinka;swieta  
prezent;swieta  
wigilia;swieta  
sylwester;swieta  
kolacja;swieta  
pisanka;swieta  
mazurek;swieta  
koszyczek;swieta  
jajko;swieta  
barszcz;swieta

